,Year,Donor,Recipient,Value,recipient_code,donor_code,gdp,pop,openness,chn_aid,unsc
10073,2009,Japan,Albania,9.33,ALB,JPN,4114.134899000001,2927519.0,75.09491440000001,1463825.351,0.0
10074,2010,Japan,Albania,3.01,ALB,JPN,4094.3588159999995,2913021.0,76.54341698,20000.0,0.0
10075,2011,Japan,Albania,2.39,ALB,JPN,4437.177794,2905195.0,81.21856893,0.0,0.0
11225,2004,Korea,Albania,0.01,ALB,KOR,2373.5798440000003,3026939.0,67.04722821,1200000.0,0.0
11226,2005,Korea,Albania,0.01,ALB,KOR,2673.7872829999997,3011487.0,70.87232827,13800.0,0.0
11227,2010,Korea,Albania,0.01,ALB,KOR,4094.3588159999995,2913021.0,76.54341698,20000.0,0.0
11228,2011,Korea,Albania,0.07,ALB,KOR,4437.177794,2905195.0,81.21856893,0.0,0.0
11233,2007,Korea,Belarus,0.05,BLR,KOR,4735.6576079999995,9560953.0,128.153878,11901406.63,0.0
11235,2009,Korea,Belarus,0.05,BLR,KOR,5351.355382,9506765.0,108.63564479999998,0.0,0.0
11239,2013,Korea,Belarus,0.19,BLR,KOR,7978.872615,9465997.0,119.8159652,100610111.4,0.0
12169,2004,Luxembourg,Albania,0.92,ALB,LUX,2373.5798440000003,3026939.0,67.04722821,1200000.0,0.0
12170,2005,Luxembourg,Albania,1.47,ALB,LUX,2673.7872829999997,3011487.0,70.87232827,13800.0,0.0
12172,2007,Luxembourg,Albania,1.66,ALB,LUX,3595.0371630000004,2970017.0,83.20210079,1230000.0,0.0
12173,2008,Luxembourg,Albania,0.68,ALB,LUX,4370.539925,2947314.0,77.4517515,0.0,0.0
12174,2009,Luxembourg,Albania,0.3,ALB,LUX,4114.134899000001,2927519.0,75.09491440000001,1463825.351,0.0
12175,2010,Luxembourg,Albania,0.09,ALB,LUX,4094.3588159999995,2913021.0,76.54341698,20000.0,0.0
12176,2011,Luxembourg,Albania,0.04,ALB,LUX,4437.177794,2905195.0,81.21856893,0.0,0.0
12185,2001,Luxembourg,Bosnia and Herzegovina,0.58,BIH,LUX,1530.814816,3755512.0,104.3189001,1574000.0,0.0
12710,2004,Netherlands,Albania,9.89,ALB,NLD,2373.5798440000003,3026939.0,67.04722821,1200000.0,0.0
12711,2005,Netherlands,Albania,1.44,ALB,NLD,2673.7872829999997,3011487.0,70.87232827,13800.0,0.0
12713,2007,Netherlands,Albania,15.43,ALB,NLD,3595.0371630000004,2970017.0,83.20210079,1230000.0,0.0
12714,2008,Netherlands,Albania,13.27,ALB,NLD,4370.539925,2947314.0,77.4517515,0.0,0.0
12715,2009,Netherlands,Albania,1.15,ALB,NLD,4114.134899000001,2927519.0,75.09491440000001,1463825.351,0.0
12716,2010,Netherlands,Albania,0.36,ALB,NLD,4094.3588159999995,2913021.0,76.54341698,20000.0,0.0
13451,2002,New Zealand,Turkey,0.02,TUR,NZL,3659.939869,65145367.0,47.46053912,5000.0,0.0
13452,2003,New Zealand,Turkey,0.07,TUR,NZL,4718.199807,66089402.0,45.60147175,30000.0,0.0
