year,recipient_code,chn_aid
2005,GNQ,0
2006,GNQ,2500000
2007,GNQ,75131448.6662
2008,GNQ,143912.7428
2009,GNQ,0
2010,GNQ,380147704.6179
2011,GNQ,0
2012,GNQ,0
2013,GNQ,18561085.44
2014,GNQ,0
2000,ERI,10000000
2001,ERI,6000000
2002,ERI,2400000
2003,ERI,2000000
2004,ERI,1812294.424
2005,ERI,21450000
2006,ERI,128500000
2007,ERI,60007886.91997
2008,ERI,0
2009,ERI,0
2010,ERI,6000000
2011,ERI,0
2013,ERI,0
2000,ETH,224158.95384
2001,ETH,138060000
2002,ETH,2012888.9658
2003,ETH,16440000
2005,ETH,58073000
2006,ETH,2644098.836
2007,ETH,18750000
2008,ETH,9756509.713
2009,ETH,459002031.24
2010,ETH,567525274.537
2011,ETH,826081058.192859
2012,ETH,434897787.15
2013,ETH,161362259.11
2014,ETH,259505843.82082
2001,FJI,120000
2004,FJI,30000
2008,FJI,200000
2009,FJI,38722658.24
2010,FJI,4431138.537
2011,FJI,104542042.216
2012,FJI,5000000
2013,FJI,13470326.41
2014,FJI,24466311.41
2000,GAB,2600000
2002,GAB,7249040.484
2004,GAB,5000000
2005,GAB,0
2007,GAB,0
2008,GAB,150482018.47
2009,GAB,0
2010,GAB,0
2011,GAB,128000000
2013,GAB,131163458.6
2014,GAB,0
2000,GEO,362384.3076
2002,GEO,784601.707
2003,GEO,604080.9291
2004,GEO,604098.1414
2005,GEO,5040716.025
2006,GEO,2500000
2008,GEO,2900000
2000,GHA,29520000
2001,GHA,3624471.708
2002,GHA,61500000
2003,GHA,97616323.716
2004,GHA,8869000
2005,GHA,61017.90062
2006,GHA,32200000
2007,GHA,456236000
2008,GHA,8990000
2009,GHA,287077602.808
2010,GHA,320050000
2011,GHA,27184644.4645
2012,GHA,247195507.4
2013,GHA,129000000
2014,GHA,1646877.0471
2005,GRD,42000000
2008,GRD,0
2009,GRD,0
2011,GRD,0
2013,GRD,26685185.19
2000,GIN,0
2002,GIN,0
2004,GIN,2000000
2005,GIN,45000000
2006,GIN,2233551.83326
2007,GIN,54000000
2008,GIN,10000000
2009,GIN,0
2010,GIN,0
2011,GIN,464291.2568
2012,GIN,0
2014,GIN,12046037.6924
2000,GNB,6000000
2001,GNB,5800000
2002,GNB,0
2003,GNB,18000000
2005,GNB,1119532.07736
2006,GNB,0
2007,GNB,46000000
2008,GNB,100000
2009,GNB,1470000
2010,GNB,1033932.325
2011,GNB,0
2012,GNB,0
2013,GNB,1600000
2002,GUY,8000000
2003,GUY,25000000
2004,GUY,0
2005,GUY,32200000
2009,GUY,102467.77457000001
2010,GUY,37530000
2011,GUY,0
2012,GUY,147496530.5
2014,GUY,0
2004,HTI,0
2007,HTI,0
2010,HTI,8931138.5375
2001,IND,50000
2008,IND,0
2014,IND,0
2001,IDN,5700000
2002,IDN,100000
2003,IDN,6067624.77714
2004,IDN,800000
2005,IDN,103672504.0988197
2006,IDN,3254164.086
2007,IDN,7821727.245200001
2008,IDN,431738.2285
2009,IDN,500000
2010,IDN,1477046.179
2011,IDN,133000000
2012,IDN,0
2013,IDN,0
2014,IDN,465717531.35
2001,IRN,604078.618
2003,IRN,1808161.858
2004,IRN,20000
2000,IRQ,0
